Round_name,Run_id,Version,Total_timespan,Average_travel_Time,Max_Travel_time,Total_#_cars,#_finished,Deadline Misses,Deadline_overTime,Num_switched,no_options_missed,1_options_missed,2_options_missed,3_options_missed,4+_options_missed,no_options_total,1_options_total,2_options_total,3_options_total,4+_options_total
for_paper0,One-shotf10.rou.xml,N/A,1232,339.5255102,1046,392,391,46,227.6304348,0,0,0,0,0,0,0,0,0,0,0
for_paper1,One-shotf10.rou.xml,N/A,1324,311.8,1118,340,337,33,243.3333333,0,0,0,0,0,0,0,0,0,0,0
for_paper2,One-shotf10.rou.xml,N/A,975,317.6821192,746,453,452,63,127.0793651,0,0,0,0,0,0,0,0,0,0,0
for_paper3,One-shotf10.rou.xml,N/A,852,287.9295455,692,440,438,29,117.7931034,0,0,0,0,0,0,0,0,0,0,0
for_paper4,One-shotf10.rou.xml,N/A,981,279.8709677,833,310,309,14,159.1428571,0,0,0,0,0,0,0,0,0,0,0
for_paper5,One-shotf10.rou.xml,N/A,1021,277.5033333,839,300,299,17,178.6470588,0,0,0,0,0,0,0,0,0,0,0
for_paper6,One-shotf10.rou.xml,N/A,1254,301.9255079,936,443,442,60,175.4166667,0,0,0,0,0,0,0,0,0,0,0
for_paper7,One-shotf10.rou.xml,N/A,704,242.9585987,566,314,313,4,78.75,0,0,0,0,0,0,0,0,0,0,0
for_paper8,One-shotf10.rou.xml,N/A,629,233.6740506,517,316,315,2,11.5,0,0,0,0,0,0,0,0,0,0,0
for_paper9,One-shotf10.rou.xml,N/A,817,272.0028169,605,355,355,18,91.55555556,0,0,0,0,0,0,0,0,0,0,0
for_paper0,One-shotf10.rou.xml,N/A,1232,339.5255102,1046,392,391,46,227.6304348,0,0,0,0,0,0,0,0,0,0,0
for_paper0,One-shotf10.rou.xml,N/A,1232,339.5255102,1046,392,391,46,227.6304348,0,0,0,0,0,0,0,0,0,0,0
for_paper0,STRBE_predictor.rou.xml,STRBE_REWORK,959,304.2397959,799,392,391,40,128.4,96,32,7,1,0,0,296,92,4,0,0
for_gif0,static2_099.rou.xml,N/A,1361,50.20048309,93,414,414,195,312.2512821,0,0,0,0,0,0,0,0,0,0,0
for_gif0,static2_099.rou.xml,N/A,1361,50.20048309,93,414,414,195,312.2512821,0,0,0,0,0,0,0,0,0,0,0
for_gif0,static2_099.rou.xml,N/A,1361,50.20048309,93,414,414,195,312.2512821,0,0,0,0,0,0,0,0,0,0,0
for_paper0,STRBE_predictor.rou.xml,STRBE_REWORK,886,284.1581633,734,392,391,34,91,93,27,6,1,0,0,299,89,4,0,0
for_paper1,STRBE_predictor.rou.xml,STRBE_REWORK,996,331.8617647,915,340,338,53,177.0943396,61,34,16,2,1,0,279,56,4,1,0
for_paper2,STRBE_predictor.rou.xml,STRBE_REWORK,963,291.2362031,867,453,450,43,133.8372093,93,30,11,2,0,0,360,90,3,0,0
for_paper3,STRBE_predictor.rou.xml,STRBE_REWORK,743,280.3090909,620,440,440,25,67.36,109,13,8,2,2,0,331,98,9,2,0
for_paper4,STRBE_predictor.rou.xml,STRBE_REWORK,798,243.2096774,681,310,309,4,97.5,46,3,1,0,0,0,264,40,4,2,0
for_paper5,STRBE_predictor.rou.xml,STRBE_REWORK,615,236.1233333,559,300,299,4,54.25,66,2,2,0,0,0,234,65,1,0,0
for_paper6,STRBE_predictor.rou.xml,STRBE_REWORK,1008,286.1602709,803,443,442,49,127.5714286,92,36,12,0,1,0,352,88,2,1,0
for_paper7,STRBE_predictor.rou.xml,STRBE_REWORK,858,235.5414013,804,314,312,3,130.6666667,72,2,1,0,0,0,242,67,5,0,0
for_paper8,STRBE_predictor.rou.xml,STRBE_REWORK,913,248.4746835,805,316,313,21,123.5238095,63,17,4,0,0,0,254,58,4,0,0
for_paper9,STRBE_predictor.rou.xml,STRBE_REWORK,748,245.5915493,617,355,355,14,54.71428571,67,7,5,0,2,0,288,62,3,2,0
for_paper0,STRBE_predictor.rou.xml,STRBE_REWORK,886,284.1581633,734,392,391,34,91,93,27,6,1,0,0,299,89,4,0,0
for_paper0,STRBE_predictor.rou.xml,STRBE_REWORK,886,284.1581633,734,392,391,34,91,92,27,6,1,0,0,300,88,4,0,0
for_paper0,STRBE_predictor.rou.xml,STRBE_REWORK,886,284.1581633,734,392,391,34,91,92,27,6,1,0,0,300,88,4,0,0
for_paper0,STRBE_predictor.rou.xml,STRBE_REWORK,886,284.1581633,734,392,391,34,91,92,27,6,1,0,0,300,88,4,0,0
for_paper0,STRBE_predictor.rou.xml,STRBE_REWORK,886,284.1581633,734,392,391,34,91,92,27,6,1,0,0,300,88,4,0,0
for_paper0,str_sumo.rou.xml,N/A,1040,319.7704082,806,392,391,35,160.9142857,0,24,11,0,0,0,300,88,4,0,0
for_paper0,static2_099.rou.xml,N/A,928,294.6683673,835,392,391,34,99.29411765,0,26,7,1,0,0,300,88,4,0,0
for_paper1,STRBE_predictor.rou.xml,STRBE_REWORK,1068,335.4735294,977,340,338,55,185.4909091,59,41,13,1,0,0,281,54,4,1,0
for_paper1,str_sumo.rou.xml,N/A,957,294.7588235,780,340,337,26,111,0,17,9,0,0,0,281,54,4,1,0
for_paper1,static2_099.rou.xml,N/A,779,269.9470588,697,340,337,15,72,0,10,5,0,0,0,281,54,4,1,0
for_paper2,STRBE_predictor.rou.xml,STRBE_REWORK,990,301.99117,897,453,450,55,140.4,94,41,12,2,0,0,359,90,4,0,0
for_paper2,str_sumo.rou.xml,N/A,959,319.8476821,771,453,452,62,127.0322581,0,41,19,2,0,0,360,89,4,0,0
for_paper2,static2_099.rou.xml,N/A,1075,345.7792494,956,453,453,79,178.5696203,0,55,22,2,0,0,359,90,4,0,0
for_paper3,STRBE_predictor.rou.xml,STRBE_REWORK,708,267.1613636,611,440,440,18,58.16666667,110,8,8,2,0,0,330,100,8,2,0
for_paper3,str_sumo.rou.xml,N/A,823,285.025,633,440,439,26,99.53846154,0,12,13,1,0,0,330,100,8,2,0
for_paper3,static2_099.rou.xml,N/A,867,297.5954545,724,440,439,31,89.06451613,0,18,12,0,1,0,330,100,8,2,0
for_paper4,STRBE_predictor.rou.xml,STRBE_REWORK,798,243.2096774,681,310,309,4,97.5,45,3,1,0,0,0,265,41,4,0,0
for_paper4,str_sumo.rou.xml,N/A,958,282.4032258,817,310,309,14,168.5,0,13,1,0,0,0,265,41,4,0,0
for_paper4,static2_099.rou.xml,N/A,710,276.1516129,672,310,307,8,41.25,0,8,0,0,0,0,266,40,4,0,0
for_paper5,STRBE_predictor.rou.xml,STRBE_REWORK,615,236.1233333,559,300,299,4,54.25,65,2,2,0,0,0,235,64,1,0,0
for_paper5,str_sumo.rou.xml,N/A,1021,277.5033333,839,300,299,17,178.6470588,0,11,6,0,0,0,235,64,1,0,0
for_paper5,static2_099.rou.xml,N/A,886,248.2233333,840,300,300,18,177.5555556,0,11,7,0,0,0,236,63,1,0,0
for_paper6,STRBE_predictor.rou.xml,STRBE_REWORK,896,288.5146727,773,443,441,42,97.02380952,90,32,9,0,1,0,354,83,5,1,0
for_paper6,str_sumo.rou.xml,N/A,1285,308.6952596,1034,443,442,64,192.3125,0,49,15,0,0,0,354,83,5,1,0
for_paper6,static2_099.rou.xml,N/A,968,288.7832957,802,443,437,50,130.36,0,34,15,0,1,0,353,84,5,1,0
for_paper7,STRBE_predictor.rou.xml,STRBE_REWORK,858,235.5414013,804,314,312,3,130.6666667,71,2,1,0,0,0,243,67,4,0,0
for_paper7,str_sumo.rou.xml,N/A,704,242.9585987,566,314,313,4,78.75,0,4,0,0,0,0,243,67,4,0,0
for_paper7,static2_099.rou.xml,N/A,679,233.5127389,608,314,309,7,31.14285714,0,2,5,0,0,0,243,67,4,0,0
for_paper8,STRBE_predictor.rou.xml,STRBE_REWORK,983,272.2721519,886,316,314,30,152.7666667,63,26,4,0,0,0,253,59,4,0,0
for_paper8,str_sumo.rou.xml,N/A,627,234.4398734,516,316,315,1,16,0,0,1,0,0,0,253,59,4,0,0
for_paper8,static2_099.rou.xml,N/A,733,225.6867089,580,316,314,6,39.5,0,5,1,0,0,0,253,59,4,0,0
for_paper9,STRBE_predictor.rou.xml,STRBE_REWORK,708,247.284507,612,355,355,18,49.72222222,68,9,7,0,2,0,287,62,4,2,0
for_paper9,str_sumo.rou.xml,N/A,778,270.0647887,578,355,355,19,57,0,13,5,0,1,0,287,62,4,2,0
for_paper9,static2_099.rou.xml,N/A,843,255.2,698,355,352,18,99.88888889,0,11,6,0,1,0,288,61,4,2,0
for_paper0,STRBE_Collector,STRBE_REWORK,928,294.6683673,835,392,391,34,99.29411765,0,34,0,0,0,0,392,0,0,0,0
for_paper0,STRBE_DUE-STR,STRBE_REWORK,1080,293.8826531,998,392,391,38,166.9473684,91,28,9,1,0,0,301,87,4,0,0
for_paper1,STRBE_DUE-STR,STRBE_REWORK,941,303.7,809,340,339,37,113.3243243,57,22,14,1,0,0,283,54,3,0,0
for_paper2,STRBE_DUE-STR,STRBE_REWORK,1338,355.4238411,1249,453,453,77,204.7402597,102,65,10,1,1,0,351,94,6,2,0
for_paper3,STRBE_DUE-STR,STRBE_REWORK,728,263.6409091,631,440,440,24,54.66666667,114,14,10,0,0,0,326,104,8,2,0
for_paper4,STRBE_DUE-STR,STRBE_REWORK,643,213.3258065,575,310,309,4,73.25,48,4,0,0,0,0,262,44,4,0,0
for_paper5,STRBE_DUE-STR,STRBE_REWORK,735,264.8066667,627,300,297,7,43.71428571,74,4,3,0,0,0,226,74,0,0,0
for_paper6,STRBE_DUE-STR,STRBE_REWORK,794,274.6072235,654,443,442,30,73.13333333,96,22,7,0,1,0,347,89,5,2,0
for_paper7,STRBE_DUE-STR,STRBE_REWORK,601,223.5796178,525,314,313,4,43.5,68,1,3,0,0,0,246,66,2,0,0
for_paper8,STRBE_DUE-STR,STRBE_REWORK,669,238.8987342,555,316,313,9,22.66666667,61,7,2,0,0,0,255,58,3,0,0
for_paper9,STRBE_DUE-STR,STRBE_REWORK,800,251.7014085,650,355,355,16,66.0625,69,5,7,2,2,0,286,60,7,2,0
for_paper10,STRBE_DUE-STR,STRBE_REWORK,1008,336.8384279,866,458,458,69,137.2898551,105,50,18,0,1,0,353,99,1,5,0
for_paper11,STRBE_DUE-STR,STRBE_REWORK,980,289.6443418,864,433,429,36,124.1111111,119,24,12,0,0,0,315,115,3,0,0
for_paper12,STRBE_DUE-STR,STRBE_REWORK,1035,294.7062937,960,429,428,39,154.7948718,114,21,16,2,0,0,315,104,10,0,0
for_paper13,STRBE_DUE-STR,STRBE_REWORK,864,253.9908676,645,438,437,23,71.91304348,111,16,7,0,0,0,327,96,15,0,0
for_paper14,STRBE_DUE-STR,STRBE_REWORK,961,276.9600887,920,451,451,37,119.1891892,118,21,14,2,0,0,333,115,3,0,0
for_paper10,STRBE_DUE-STR,STRBE_REWORK,1008,336.8384279,866,458,458,69,137.2898551,105,50,18,0,1,0,353,99,1,5,0
for_paper10,str_sumo.rou.xml,N/A,1167,346.3056769,887,458,458,76,158.0657895,0,52,22,0,2,0,353,99,1,5,0
for_paper10,static2_099.rou.xml,N/A,1072,346.220524,924,458,458,75,167.0933333,0,51,23,0,1,0,353,99,1,5,0
for_paper11,STRBE_DUE-STR,STRBE_REWORK,980,289.6443418,864,433,429,36,124.1111111,119,24,12,0,0,0,315,115,3,0,0
for_paper11,str_sumo.rou.xml,N/A,1164,359.8845266,865,433,432,73,178.260274,0,46,27,0,0,0,315,115,3,0,0
for_paper11,static2_099.rou.xml,N/A,896,268.9815242,756,433,430,35,112.0857143,0,27,8,0,0,0,314,116,3,0,0
for_paper12,STRBE_DUE-STR,STRBE_REWORK,1035,294.7062937,960,429,428,39,154.7948718,114,21,16,2,0,0,315,104,10,0,0
for_paper12,str_sumo.rou.xml,N/A,1076,339.4149184,858,429,429,72,150.5416667,0,51,21,0,0,0,316,103,10,0,0
for_paper12,static2_099.rou.xml,N/A,950,271.6666667,767,429,427,21,64.19047619,0,16,5,0,0,0,316,103,10,0,0
for_paper13,STRBE_DUE-STR,STRBE_REWORK,864,253.9908676,645,438,437,23,71.91304348,111,16,7,0,0,0,327,96,15,0,0
for_paper13,str_sumo.rou.xml,N/A,987,330.9429224,830,438,437,57,121.2807018,0,40,17,0,0,0,328,95,15,0,0
for_paper13,static2_099.rou.xml,N/A,1491,326.1780822,1383,438,434,57,362.6491228,0,41,16,0,0,0,328,95,15,0,0
for_paper14,STRBE_DUE-STR,STRBE_REWORK,961,276.9600887,920,451,451,37,119.1891892,118,21,14,2,0,0,333,115,3,0,0
for_paper14,str_sumo.rou.xml,N/A,1291,351.1840355,877,451,451,71,143.6338028,0,52,19,0,0,0,333,115,3,0,0
for_paper14,static2_099.rou.xml,N/A,1252,327.9490022,1066,451,450,63,155,0,46,17,0,0,0,333,115,3,0,0
for_paper10,STRBE_Collector,STRBE_collector,1072,346.220524,924,458,458,75,167.0933333,0,75,0,0,0,0,458,0,0,0,0
for_paper11,STRBE_Collector,STRBE_collector,896,268.9815242,756,433,430,35,112.0857143,0,35,0,0,0,0,433,0,0,0,0
for_paper12,STRBE_Collector,STRBE_collector,950,271.6666667,767,429,427,21,64.19047619,0,21,0,0,0,0,429,0,0,0,0
for_paper13,STRBE_Collector,STRBE_collector,1491,326.1780822,1383,438,434,57,362.6491228,0,57,0,0,0,0,438,0,0,0,0
for_paper14,STRBE_Collector,STRBE_collector,1252,327.9490022,1066,451,450,63,155,0,63,0,0,0,0,451,0,0,0,0
analyze0,STRBE_Collector,STRBE_collector,1095,318.5217391,934,483,479,70,157.7142857,0,70,0,0,0,0,483,0,0,0,0
analyze1,STRBE_Collector,STRBE_collector,1001,309.2186788,913,439,438,54,137.2777778,0,54,0,0,0,0,439,0,0,0,0
analyze2,STRBE_Collector,STRBE_collector,716,265.4894737,640,380,376,17,39.29411765,0,17,0,0,0,0,380,0,0,0,0
analyze3,STRBE_Collector,STRBE_collector,713,268.1194969,662,318,317,14,43.5,0,14,0,0,0,0,318,0,0,0,0
analyze4,STRBE_Collector,STRBE_collector,858,276.8357843,708,408,408,21,89,0,21,0,0,0,0,408,0,0,0,0
analyze5,STRBE_Collector,STRBE_collector,716,247.3210702,646,299,296,9,51.33333333,0,9,0,0,0,0,299,0,0,0,0
analyze6,STRBE_Collector,STRBE_collector,1064,313.8314607,1029,445,443,57,192.5263158,0,57,0,0,0,0,445,0,0,0,0
analyze7,STRBE_Collector,STRBE_collector,749,263.8448753,676,361,360,13,71.15384615,0,13,0,0,0,0,361,0,0,0,0
analyze8,STRBE_Collector,STRBE_collector,757,233.4252874,604,348,347,9,33.33333333,0,9,0,0,0,0,348,0,0,0,0
analyze9,STRBE_Collector,STRBE_collector,589,235.5083799,507,358,354,3,34.66666667,0,3,0,0,0,0,358,0,0,0,0
analyze10,STRBE_Collector,STRBE_collector,933,305.4013378,865,299,298,37,152.5405405,0,37,0,0,0,0,299,0,0,0,0
analyze11,STRBE_Collector,STRBE_collector,1574,347.1373737,1490,495,495,76,383.1184211,0,76,0,0,0,0,495,0,0,0,0
analyze12,STRBE_Collector,STRBE_collector,724,262.6710963,690,301,299,13,54.53846154,0,13,0,0,0,0,301,0,0,0,0
analyze13,STRBE_Collector,STRBE_collector,998,327.4128878,871,419,419,45,98.88888889,0,45,0,0,0,0,419,0,0,0,0
analyze14,STRBE_Collector,STRBE_collector,1498,359.7175573,1422,393,391,71,235.5774648,0,71,0,0,0,0,393,0,0,0,0
analyze15,STRBE_Collector,STRBE_collector,634,248.5777126,553,341,340,6,29.5,0,6,0,0,0,0,341,0,0,0,0
analyze16,STRBE_Collector,STRBE_collector,1357,364.7091723,1129,447,443,91,269.2857143,0,91,0,0,0,0,447,0,0,0,0
